Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,13690,13711,13745,13777,13817,13872,13865,13904,13892,13977,14035,14070
1974,14090,14135,14152,14191,14221,14239,14288,14328,14422,14484,14532,14559
1975,14624,14747,14754,14795,14827,14784,14861,14870,14824,14900,14903,14946
1976,14969,14981,14987,14985,14971,14963,14993,15007,14971,15028,15073,15075
1977,15056,15056,15050,15075,15132,15207,15299,15328,15403,15463,15515,15538
1978,15611,15671,15731,15797,15834,15852,15901,15891,15819,15858,15894,15911
1979,15937,15947,15956,15977,15990,16045,16150,16229,16128,16136,16173,16180
1980,16201,16226,16296,16583,16454,16441,16418,16410,16330,16386,16391,16373
1993,18901,18902,18907,18938,18951,18969,19060,19028,19041,19042,19068,19109
1994,19147,19150,19190,19223,19264,19274,19301,19306,19337,19344,19367,19388
1995,19397,19407,19427,19434,19418,19445,19437,19429,19430,19464,19463,19466
1996,19450,19485,19532,19515,19529,19528,19547,19504,19567,19554,19565,19571
1997,19593,19598,19608,19603,19601,19660,19686,19617,19679,19738,19761,19766
1998,19770,19786,19792,19816,19875,19879,19930,19959,19985,20001,20044,20079
1999,20084,20144,20168,20237,20229,20272,20339,20375,20404,20457,20496,20540
2000,20571,20599,20733,20802,21147,20887,20867,20837,20735,20743,20760,20804
2001,20835,20906,20945,20992,21029,21137,21185,21218,21242,21275,21326,21355
2002,21377,21390,21431,21443,21514,21549,21544,21589,21546,21559,21581,21588
2003,21626,21624,21610,21595,21567,21606,21633,21556,21504,21558,21535,21546
2004,21538,21550,21588,21614,21614,21601,21606,21626,21635,21656,21692,21693
2005,21735,21744,21740,21754,21781,21763,21857,21863,21845,21829,21859,21879
2006,21847,21878,21903,21919,21926,21922,21973,22011,22082,22068,22083,22088
2007,22095,22131,22149,22175,22193,22207,22171,22226,22279,22297,22334,22376
2008,22388,22417,22443,22450,22483,22517,22568,22567,22537,22549,22560,22556
